person_id,movie_id
2288083,6263462
1281776,6263462
2088803,1376709
5072,1376709
4274963,1964895
617177,117600
197040,117600
504492,3599660
330249,208663
1281776,341555
842056,212719
618574,5589816
1936306,10087508
972531,1686042
95007,2162706
5072,1594479
1655252,1694510
945805,69517
1540,437250
1880386,2044064
197040,66411
866745,222798
904112,97650
508293,111543
739418,186511
26460,955381
560732,955381
1045934,9764654
255124,928377
401192,198664
4486,101753
651692,4227204
1540,2032452
708095,2032452
536484,67550
343770,1996245
1411610,4508542
4486,4508542
1972134,1877741
2896101,3584390
401638,4244998
708095,2326059
766291,229852
361448,229852
72533,5107630
1276051,5107630
683424,124196
2783254,124196
1276051,3243554
5109620,3243554
796665,2908856
766291,2908856
1124782,6419714
2783254,6419714
72533,1567685
683424,1567685
796665,1567685
1276051,4665330
1124782,4665330
2783254,4665330
5109620,1483836
766291,1483836
72533,1483836
1124782,96466
683424,96466
361448,96466
